name,age,native_lang,spoken_lang,word,F1,F2
d,20,isl,isl,kar,668.419354,1125.69376
d,20,isl,isl,kar,644.093,1180.43839
d,20,isl,isl,kar,675.799954,1205.16366
d,20,isl,isl,ker,444.943715,2076.71241
d,20,isl,isl,ker,493.566913,2032.77425
d,20,isl,isl,ker,469.02076,1980.39232
d,20,isl,isl,kyr,400.496909,2168.45381
d,20,isl,isl,kyr,383.529306,2119.01068
d,20,isl,isl,kyr,388.626458,2114.78301
d,20,isl,isl,kor,478.489917,836.43516
d,20,isl,isl,kor,480.350573,857.768549
d,20,isl,isl,kor,442.122038,862.44302
d,20,isl,isl,kur,348.590417,1983.49891
d,20,isl,isl,kur,332.642239,1933.71298
d,20,isl,isl,kur,345.664865,2010.56206
d,20,isl,isl,kúr,329.85793,794.777061
d,20,isl,isl,kúr,349.17514,781.483084
d,20,isl,isl,kúr,319.137806,782.287373
d,20,isl,isl,kör,455.496147,1526.62642
d,20,isl,isl,kör,432.996067,1484.83285
d,20,isl,isl,kör,441.530178,1524.80129
d,20,isl,isl,kár,539.658872,900.59798
d,20,isl,isl,kár,545.076535,1040.80927
d,20,isl,isl,kár,576.417035,1102.5401
d,20,isl,isl,kær,539.003858,1898.07568
d,20,isl,isl,kær,575.209605,1807.95426
d,20,isl,isl,kær,602.612945,1702.83115
d,20,isl,isl,keyr,414.036896,2230.6136
d,20,isl,isl,keyr,390.0083,2169.08169
d,20,isl,isl,keyr,423.778682,2136.46906
d,20,isl,isl,kór,436.919361,824.562403
d,20,isl,isl,kór,429.710906,892.176251
d,20,isl,isl,kór,451.402216,888.299862
d,20,isl,isl,kaur,362.634517,1844.01409
d,20,isl,isl,kaur,398.181983,1773.04182
d,20,isl,isl,kaur,429.915191,1649.72357
d,20,isl,isl,kýr,325.50909,2360.13914
d,20,isl,isl,kýr,263.896013,2317.58816
d,20,isl,isl,kýr,287.61454,2335.94762
d,26,eng,isl,kar,623.615637,1323.92199
l,26,eng,isl,kar,611.517217,1220.03387
l,26,eng,isl,kar,614.288496,1229.0136
l,26,eng,isl,ker,506.219528,1848.08027
l,26,eng,isl,ker,587.467209,1671.86993
l,26,eng,isl,ker,584.255727,1626.74822
l,26,eng,isl,kyr,393.006114,1928.75293
l,26,eng,isl,kyr,368.29707,1905.29483
l,26,eng,isl,kyr,457.184011,1689.1941
l,26,eng,isl,kor,467.977374,747.894279
l,26,eng,isl,kor,444.472702,1064.26711
l,26,eng,isl,kor,433.156048,990.730874
l,26,eng,isl,kur,308.617571,1755.6572
l,26,eng,isl,kur,362.29312,1709.41415
l,26,eng,isl,kur,292.289531,1581.38935
l,26,eng,isl,kúr,317.882248,594.28921
l,26,eng,isl,kúr,391.918953,831.313755
l,26,eng,isl,kúr,333.155837,839.969781
l,26,eng,isl,kör,532.723345,1425.4403
l,26,eng,isl,kör,553.161858,1389.9611
l,26,eng,isl,kör,513.01027,1409.27121
l,26,eng,isl,kár,524.07577,853.146976
l,26,eng,isl,kár,498.115374,788.548227
l,26,eng,isl,kár,564.474879,605.488454
l,26,eng,isl,kær,551.89473,1670.04878
l,26,eng,isl,kær,566.437767,1667.358
l,26,eng,isl,kær,548.469873,1666.20538
l,26,eng,isl,keyr,348.29983,2091.07652
l,26,eng,isl,keyr,408.73228,1903.79636
l,26,eng,isl,keyr,323.745715,2136.28688
l,26,eng,isl,kór,387.822123,646.982795
l,26,eng,isl,kór,263.367118,594.200173
l,26,eng,isl,kór,370.541561,580.575254
l,26,eng,isl,kaur,345.926552,1967.16481
l,26,eng,isl,kaur,323.644382,1787.23885
l,26,eng,isl,kaur,380.173636,1718.23257
l,26,eng,isl,kýr,343.02342,2188.80019
l,26,eng,isl,kýr,288.662816,2122.86557
l,26,eng,isl,kýr,314.995102,2101.59016
r,26,esp,isl,kar,840.428633,1207.53333
r,26,esp,isl,kar,818.874928,1356.53214
r,26,esp,isl,kar,810.09473,1240.98699
r,26,esp,isl,ker,672.344478,2167.87749
r,26,esp,isl,ker,760.966799,2007.96831
r,26,esp,isl,ker,695.235376,1931.43331
r,26,esp,isl,kyr,313.245332,2597.06112
r,26,esp,isl,kyr,330.041283,2689.41977
r,26,esp,isl,kyr,374.319137,2458.52273
r,26,esp,isl,kor,460.143626,829.979416
r,26,esp,isl,kor,478.463481,937.945564
r,26,esp,isl,kor,463.750041,973.865728
r,26,esp,isl,kur,365.356466,736.532943
r,26,esp,isl,kur,343.690736,747.80748
r,26,esp,isl,kur,375.034285,781.243898
r,26,esp,isl,kúr,375.596085,986.831947
r,26,esp,isl,kúr,392.990657,1070.05281
r,26,esp,isl,kúr,385.95903,1016.19119
r,26,esp,isl,kör,488.628017,2004.52677
r,26,esp,isl,kör,489.546767,1591.44196
r,26,esp,isl,kör,458.046635,2007.21336
r,26,esp,isl,kár,712.851874,1083.67151
r,26,esp,isl,kár,680.276775,1119.14636
r,26,esp,isl,kár,574.692248,1080.23496
r,26,esp,isl,kær,762.514414,1964.43839
r,26,esp,isl,kær,782.548656,1772.97334
r,26,esp,isl,kær,573.534033,1979.63233
r,26,esp,isl,keyr,447.170968,2374.30689
r,26,esp,isl,keyr,484.945368,2357.08088
r,26,esp,isl,keyr,418.509282,2330.89617
r,26,esp,isl,kór,480.481297,864.398178
r,26,esp,isl,kór,432.048382,750.253996
r,26,esp,isl,kór,373.032551,862.674534
r,26,esp,isl,kaur,407.09219,2300.11398
r,26,esp,isl,kaur,414.135883,2182.82204
r,26,esp,isl,kaur,453.090855,1905.79136
a,28,isl,isl,kar,659.381732,941.831564
a,28,isl,isl,kar,651.621005,1202.63368
a,28,isl,isl,kar,633.436863,964.522403
a,28,isl,isl,ker,361.91636,1989.21868
a,28,isl,isl,ker,397.478235,1981.42014
a,28,isl,isl,ker,392.556365,2002.49103
a,28,isl,isl,kyr,358.921333,1065.68672
a,28,isl,isl,kyr,401.858935,1883.58737
a,28,isl,isl,kyr,360.24769,2016.57681
a,28,isl,isl,kor,479.11972,662.544604
a,28,isl,isl,kor,453.772789,745.974387
a,28,isl,isl,kor,459.87442,707.146123
a,28,isl,isl,kur,333.58474,1570.24709
a,28,isl,isl,kur,366.034727,1542.42367
a,28,isl,isl,kur,378.842383,1508.51917
a,28,isl,isl,kúr,363.75476,683.9271
a,28,isl,isl,kúr,354.514957,729.76885
a,28,isl,isl,kúr,337.852947,683.766391
a,28,isl,isl,kör,453.96585,1363.70483
a,28,isl,isl,kör,453.324826,1317.28451
a,28,isl,isl,kör,453.863839,1284.40472
a,28,isl,isl,kár,648.656539,1041.00466
a,28,isl,isl,kár,623.59343,1102.40043
a,28,isl,isl,kár,572.964384,982.99815
a,28,isl,isl,kær,661.57328,1402.78488
a,28,isl,isl,kær,618.079709,1408.92117
a,28,isl,isl,kær,633.813818,1315.88688
a,28,isl,isl,keyr,422.771788,1956.73917
a,28,isl,isl,keyr,404.672193,1906.10332
a,28,isl,isl,keyr,427.952271,1815.74338
a,28,isl,isl,kór,433.800857,770.291759
a,28,isl,isl,kór,436.674763,799.081728
a,28,isl,isl,kór,458.454721,747.510656
a,28,isl,isl,kaur,423.714761,1533.23319
a,28,isl,isl,kaur,409.710873,1581.7865
a,28,isl,isl,kaur,432.84085,1528.3566
m,36,cnr,isl,kar,770.380899,1116.52436
m,36,cnr,isl,kar,1028.71646,1139.93909
m,36,cnr,isl,kar,804.026149,1126.59904
m,36,cnr,isl,ker,528.164854,1872.49536
m,36,cnr,isl,ker,487.18048,1870.0205
m,36,cnr,isl,ker,503.303756,1875.45343
m,36,cnr,isl,kyr,384.903444,1836.474
m,36,cnr,isl,kyr,410.04183,1656.26075
m,36,cnr,isl,kyr,384.56226,1747.07244
m,36,cnr,isl,kor,415.408793,1712.35142
m,36,cnr,isl,kor,486.640783,847.648791
m,36,cnr,isl,kor,513.076551,726.671194
m,36,cnr,isl,kur,413.044369,1632.57499
m,36,cnr,isl,kur,387.126379,1545.1699
m,36,cnr,isl,kur,391.256705,1443.89546
m,36,cnr,isl,kúr,365.029292,966.152065
m,36,cnr,isl,kúr,340.790357,892.981805
m,36,cnr,isl,kúr,350.38054,916.639025
m,36,cnr,isl,kör,376.785813,1439.34129
m,36,cnr,isl,kör,386.306125,1336.76453
m,36,cnr,isl,kör,411.025686,1304.49184
m,36,cnr,isl,kár,553.429205,963.005842
m,36,cnr,isl,kár,518.721427,912.17789
m,36,cnr,isl,kár,519.867336,948.495033
m,36,cnr,isl,kær,571.442412,1813.07181
m,36,cnr,isl,kær,549.495853,1831.5528
m,36,cnr,isl,kær,519.404262,1827.43829
m,36,cnr,isl,keyr,370.689501,2113.36879
m,36,cnr,isl,keyr,444.28338,2075.05459
m,36,cnr,isl,keyr,438.978659,2124.12074
m,36,cnr,isl,kór,420.64214,628.773738
m,36,cnr,isl,kór,324.808356,1916.58239
m,36,cnr,isl,kór,394.903931,437.344251
m,36,cnr,isl,kaur,483.243346,1328.26591
m,36,cnr,isl,kaur,465.292393,1622.62817
m,36,cnr,isl,kaur,518.098688,1299.90561
b,27,isl,isl,kar,563.056353,1215.84352
b,27,isl,isl,kar,593.839979,1310.57071
b,27,isl,isl,kar,575.329945,1242.69373
b,27,isl,isl,ker,393.013338,1846.82713
b,27,isl,isl,ker,413.049426,1695.27461
b,27,isl,isl,ker,434.597276,1726.44975
b,27,isl,isl,kyr,351.545474,2185.14305
b,27,isl,isl,kyr,331.941856,2091.55737
b,27,isl,isl,kyr,334.355248,2000.61321
b,27,isl,isl,kor,387.827801,817.214496
b,27,isl,isl,kor,408.140461,890.719923
b,27,isl,isl,kor,388.396223,849.430309
b,27,isl,isl,kur,354.075146,1517.80981
b,27,isl,isl,kur,313.160595,1336.64126
b,27,isl,isl,kur,354.163075,1407.53337
b,27,isl,isl,kúr,295.411233,705.660412
b,27,isl,isl,kúr,325.764535,801.441243
b,27,isl,isl,kúr,318.180107,808.830413
b,27,isl,isl,kör,384.832423,1395.80708
b,27,isl,isl,kör,426.319207,1369.54173
b,27,isl,isl,kör,419.38028,1444.45673
b,27,isl,isl,kár,556.619905,1023.64803
b,27,isl,isl,kár,563.969352,1008.723
b,27,isl,isl,kár,523.624456,1003.91719
b,27,isl,isl,kær,597.753349,1561.96577
b,27,isl,isl,kær,518.403675,1603.50417
b,27,isl,isl,kær,593.508062,1602.43364
b,27,isl,isl,keyr,437.605994,2156.79887
b,27,isl,isl,keyr,351.203757,2174.11054
b,27,isl,isl,keyr,396.227451,2201.84538
b,27,isl,isl,kór,379.849115,821.65921
b,27,isl,isl,kór,367.384586,782.025047
b,27,isl,isl,kór,393.625783,828.990448
b,27,isl,isl,kaur,382.8808,1531.30976
b,27,isl,isl,kaur,369.85058,1573.72398
b,27,isl,isl,kaur,379.295914,1559.86703
b,27,isl,isl,kýr,254.752525,2232.58541
b,27,isl,isl,kýr,229.561866,2271.81896
b,27,isl,isl,kýr,248.968798,2349.51074
it,34,ita,isl,kar,894.073744,1378.45934
it,34,ita,isl,kar,881.712402,1247.91129
it,34,ita,isl,kar,837.266786,1128.32678
it,34,ita,isl,ker,799.499831,1691.53296
it,34,ita,isl,ker,790.994747,1696.53684
it,34,ita,isl,ker,782.267585,1722.67859
it,34,ita,isl,kyr,486.978665,2232.46165
it,34,ita,isl,kyr,746.424423,1726.95324
it,34,ita,isl,kyr,359.915363,1944.6705
it,34,ita,isl,kor,871.814927,1241.68183
it,34,ita,isl,kor,889.891939,1318.42831
it,34,ita,isl,kor,571.514843,1064.48144
it,34,ita,isl,kur,513.969987,1544.0972
it,34,ita,isl,kur,621.396003,1488.76204
it,34,ita,isl,kur,516.443047,1445.27867
it,34,ita,isl,kúr,463.993351,1012.07994
it,34,ita,isl,kúr,350.110356,768.601943
it,34,ita,isl,kúr,430.43202,932.87973
it,34,ita,isl,kör,437.202355,1515.4088
it,34,ita,isl,kör,807.60629,1502.77512
it,34,ita,isl,kör,394.394676,1506.66502
it,34,ita,isl,kár,605.065304,1075.18461
it,34,ita,isl,kár,963.296769,1370.19888
it,34,ita,isl,kár,739.349448,1028.01026
it,34,ita,isl,kær,454.660746,2055.24567
it,34,ita,isl,kær,826.552566,1762.99372
it,34,ita,isl,kær,667.803449,1739.45876
it,34,ita,isl,keyr,456.445254,2450.96115
it,34,ita,isl,keyr,475.603177,2542.40528
it,34,ita,isl,keyr,471.737611,1951.96483
it,34,ita,isl,kór,420.947208,778.863428
it,34,ita,isl,kór,354.453139,811.190862
it,34,ita,isl,kór,511.639864,1161.82921
it,34,ita,isl,kaur,409.272002,2341.12506
it,34,ita,isl,kaur,469.16768,2068.27475
it,34,ita,isl,kaur,410.171275,1891.91649
st,27,isl,isl,kar,718.787421,1238.30135
st,27,isl,isl,kar,701.727747,1213.15581
st,27,isl,isl,kar,705.817694,1150.85495
st,27,isl,isl,ker,435.755135,1820.83143
st,27,isl,isl,ker,442.492162,1631.31725
st,27,isl,isl,ker,422.316967,1629.35359
st,27,isl,isl,kyr,364.195822,1854.22721
st,27,isl,isl,kyr,395.0665,1714.06543
st,27,isl,isl,kyr,370.881856,1862.41825
st,27,isl,isl,kor,498.974487,881.192598
st,27,isl,isl,kor,447.02762,852.278705
st,27,isl,isl,kor,503.482401,888.283561
st,27,isl,isl,kur,415.235671,1457.31216
st,27,isl,isl,kur,391.3029,1473.60225
st,27,isl,isl,kur,413.236412,1437.75765
st,27,isl,isl,kúr,320.606757,731.412046
st,27,isl,isl,kúr,349.272242,780.787397
st,27,isl,isl,kúr,322.272023,757.023124
st,27,isl,isl,kör,459.952605,1339.35715
st,27,isl,isl,kör,459.731529,1321.56083
st,27,isl,isl,kör,465.576202,1338.24546
st,27,isl,isl,kár,545.038098,969.65702
st,27,isl,isl,kár,576.825971,1038.8176
st,27,isl,isl,kár,567.617364,969.34011
st,27,isl,isl,kær,621.023938,1441.41426
st,27,isl,isl,kær,617.32656,1294.83985
st,27,isl,isl,kær,634.325486,1319.18505
st,27,isl,isl,keyr,472.708515,1898.94358
st,27,isl,isl,keyr,461.763712,1896.51106
st,27,isl,isl,keyr,487.885162,1762.8005
st,27,isl,isl,kór,468.516287,878.7471
st,27,isl,isl,kór,435.615547,900.077805
st,27,isl,isl,kór,443.12268,854.76728
st,27,isl,isl,kaur,448.399216,1528.25404
st,27,isl,isl,kaur,435.020432,1531.54122
st,27,isl,isl,kaur,457.3209,1544.36178
de,31,den,isl,kar,825.785594,1391.67652
de,31,den,isl,kar,791.082593,1384.06884
de,31,den,isl,kar,823.255162,1385.70624
de,31,den,isl,ker,694.203527,1704.34165
de,31,den,isl,ker,602.47933,1707.30708
de,31,den,isl,ker,577.550079,1706.57016
de,31,den,isl,kyr,321.402127,2235.84373
de,31,den,isl,kyr,408.47529,2158.95678
de,31,den,isl,kyr,376.048673,1938.60179
de,31,den,isl,kor,577.388092,1005.31982
de,31,den,isl,kor,773.730571,941.303353
de,31,den,isl,kor,689.291261,987.481886
de,31,den,isl,kur,354.701974,995.445707
de,31,den,isl,kur,838.55491,2478.38681
de,31,den,isl,kur,383.351925,914.421741
de,31,den,isl,kúr,967.167555,2241.88876
de,31,den,isl,kúr,872.361674,2421.72835
de,31,den,isl,kör,577.876321,1434.64163
de,31,den,isl,kör,631.29948,1439.90173
de,31,den,isl,kör,722.197323,1418.89219
de,31,den,isl,kár,746.274221,1178.35748
de,31,den,isl,kár,862.666598,1235.59368
de,31,den,isl,kár,798.022051,1119.87224
de,31,den,isl,kær,612.378882,1868.29852
de,31,den,isl,kær,514.068674,1928.90417
de,31,den,isl,kær,512.051709,1930.79961
de,31,den,isl,keyr,305.541352,2264.17537
de,31,den,isl,keyr,423.244585,2156.80763
de,31,den,isl,keyr,414.430838,2167.61487
de,31,den,isl,kór,432.432642,605.150318
de,31,den,isl,kór,442.674817,921.711724
de,31,den,isl,kór,367.190643,939.690629
de,31,den,isl,kaur,379.027321,1997.91444
de,31,den,isl,kaur,424.308838,1855.45269
